CONFIGURATION USED
DCno: 2
Sector/DC: 1
Aisles/Sector: 1
Racks/aisle: 2
Hosts/Rack: 800
Application( if using workload , type 0 ): 0
ReplicationFactor: 2
DCfailure: 0
Sectorfailure: 0
Aislefailure: 0
Rackfailure: 1
Hostfailure: 0

 INITIALIZING the configuration 
0.1: Broker: VM #0 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #0
0.1: Broker: VM #1 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #0
0.1: Broker: VM #2 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #1
0.1: Broker: VM #3 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #1
0.1: Broker: VM #4 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #2
0.1: Broker: VM #5 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #2
0.1: Broker: VM #6 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #3
0.1: Broker: VM #7 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #3
0.1: Broker: VM #8 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #4
0.1: Broker: VM #9 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #4
0.1: Broker: VM #10 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #5
0.1: Broker: VM #11 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #5
0.1: Broker: VM #12 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #6
0.1: Broker: VM #13 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #6
0.1: Broker: VM #14 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #7
0.1: Broker: VM #15 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #7
0.1: Broker: VM #16 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #8
0.1: Broker: VM #17 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #8
0.1: Broker: VM #18 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #9
0.1: Broker: VM #19 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #9
0.1: Broker: VM #20 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #10
0.1: Broker: VM #21 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #10
0.1: Broker: VM #22 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #11
0.1: Broker: VM #23 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #11
0.1: Broker: VM #24 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #12
0.1: Broker: VM #25 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #12
0.1: Broker: VM #26 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #13
0.1: Broker: VM #27 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #13
0.1: Broker: VM #28 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #14
0.1: Broker: VM #29 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #14
0.1: Broker: VM #30 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #15
0.1: Broker: VM #31 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #15
0.1: Broker: VM #32 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #16
0.1: Broker: VM #33 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #16
0.1: Broker: VM #34 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #17
0.1: Broker: VM #35 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #17
0.1: Broker: VM #36 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #18
0.1: Broker: VM #37 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #18
0.1: Broker: VM #38 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #19
0.1: Broker: VM #39 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #19
0.1: Broker: VM #40 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #20
0.1: Broker: VM #41 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #20
0.1: Broker: VM #42 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #21
0.1: Broker: VM #43 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #21
0.1: Broker: VM #44 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #22
0.1: Broker: VM #45 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #22
0.1: Broker: VM #46 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #23
0.1: Broker: VM #47 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #23
0.1: Broker: VM #48 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #24
0.1: Broker: VM #49 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #24
0.1: Broker: VM #50 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #25
0.1: Broker: VM #51 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #25
0.1: Broker: VM #52 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #26
0.1: Broker: VM #53 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #26
0.1: Broker: VM #54 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #27
0.1: Broker: VM #55 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #27
0.1: Broker: VM #56 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #28
0.1: Broker: VM #57 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #28
0.1: Broker: VM #58 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #29
0.1: Broker: VM #59 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #29
0.1: Broker: VM #60 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #30
0.1: Broker: VM #61 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #30
0.1: Broker: VM #62 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #31
0.1: Broker: VM #63 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #31
0.1: Broker: VM #64 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #32
0.1: Broker: VM #65 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #32
0.1: Broker: VM #66 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #33
0.1: Broker: VM #67 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #33
0.1: Broker: VM #68 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #34
0.1: Broker: VM #69 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #34
0.1: Broker: VM #70 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #35
0.1: Broker: VM #71 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #35
0.1: Broker: VM #72 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #36
0.1: Broker: VM #73 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #36
0.1: Broker: VM #74 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #37
0.1: Broker: VM #75 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #37
0.1: Broker: VM #76 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #38
0.1: Broker: VM #77 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #38
0.1: Broker: VM #78 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #39
0.1: Broker: VM #79 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #39
0.1: Broker: VM #80 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #40
0.1: Broker: VM #81 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #40
0.1: Broker: VM #82 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #41
0.1: Broker: VM #83 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #41
0.1: Broker: VM #84 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #42
0.1: Broker: VM #85 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #42
0.1: Broker: VM #86 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #43
0.1: Broker: VM #87 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #43
0.1: Broker: VM #88 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #44
0.1: Broker: VM #89 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #44
0.1: Broker: VM #90 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #45
